"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2001","2.570","2.630","3.050","2.450","689.86K","-4.85%"
"11/01/2001","2.701","3.321","3.400","2.170","806.97K","-17.93%"
"10/01/2001","3.291","2.220","3.440","2.140","814.19K","46.66%"
"09/01/2001","2.244","2.283","2.720","1.760","360.10K","-5.71%"
"08/01/2001","2.380","3.300","3.620","2.245","716.34K","-27.79%"
"07/01/2001","3.296","3.090","3.450","2.881","667.50K","6.46%"
"06/01/2001","3.096","3.898","4.440","3.055","735.64K","-20.90%"
"05/01/2001","3.914","4.685","4.703","3.670","782.47K","-16.63%"
"04/01/2001","4.695","4.985","5.620","4.680","561.60K","-6.57%"
"03/01/2001","5.025","5.204","5.740","4.870","513.27K","-4.03%"
"02/01/2001","5.236","5.700","7.100","4.950","483.25K","-8.25%"
"01/01/2001","5.707","9.450","9.916","5.650","473.59K","-41.62%"
"12/01/2000","9.775","6.579","10.100","6.510","449.38K","48.35%"
"11/01/2000","6.589","4.530","6.730","4.521","888.27K","46.75%"
"10/01/2000","4.490","5.325","5.780","4.380","806.90K","-13.42%"
"09/01/2000","5.186","4.780","5.479","4.741","752.04K","8.45%"
"08/01/2000","4.782","3.770","4.865","3.760","738.21K","26.71%"
"07/01/2000","3.774","4.270","4.360","3.610","670.82K","-15.68%"
"06/01/2000","4.476","4.349","4.715","3.800","933.45K","2.75%"
"05/01/2000","4.356","3.175","4.555","3.010","869.57K","38.68%"
"04/01/2000","3.141","2.940","3.175","2.815","565.02K","6.66%"
"03/01/2000","2.945","2.760","2.980","2.670","671.92K","6.66%"
"02/01/2000","2.761","2.670","2.780","2.465","780.93K","3.72%"
"01/01/2000","2.662","2.130","2.680","2.125","724.95K","14.30%"
"12/01/1999","2.329","2.318","2.715","2.210","697.70K","1.09%"
"11/01/1999","2.304","2.890","2.930","2.080","702.49K","-22.19%"
"10/01/1999","2.961","2.740","3.275","2.530","889.08K","7.91%"
"09/01/1999","2.744","2.819","2.940","2.406","991.51K","-2.87%"
"08/01/1999","2.825","2.500","3.130","2.490","839.22K","11.09%"
"07/01/1999","2.543","2.395","2.710","2.100","909.79K","6.22%"
"06/01/1999","2.394","2.375","2.480","2.211","813.93K","1.53%"
"05/01/1999","2.358","2.230","2.390","2.145","798.26K","4.66%"
"04/01/1999","2.253","2.019","2.415","1.950","828.98K","11.92%"
"03/01/1999","2.013","1.650","2.070","1.650","941.00K","23.65%"
"02/01/1999","1.628","1.735","1.875","1.625","622.24K","-8.38%"
"01/01/1999","1.777","2.020","2.085","1.695","687.23K","-8.64%"
"12/01/1998","1.945","1.970","2.120","1.710","793.85K","-1.57%"
"11/01/1998","1.976","2.240","2.640","1.970","681.36K","-13.14%"
"10/01/1998","2.275","2.459","2.530","1.950","712.48K","-6.49%"
"09/01/1998","2.433","1.763","2.480","1.630","828.70K","38.87%"
"08/01/1998","1.752","1.840","2.050","1.610","632.29K","-4.99%"
"07/01/1998","1.844","2.470","2.520","1.835","647.66K","-25.31%"
"06/01/1998","2.469","2.145","2.485","1.915","770.25K","13.78%"
"05/01/1998","2.170","2.220","2.285","1.990","615.72K","-2.30%"
"04/01/1998","2.221","2.530","2.725","2.152","770.70K","-11.93%"
"03/01/1998","2.522","2.335","2.530","2.105","631.44K","8.66%"
